model_name,feature_selection,generalization_test,best_model,random_state,max_depth,min_samples_split,subsample,n_estimators,max_features,learning_rate,micro_precision_Strategy,micro_recall_Strategy,micro_f1_Strategy,micro_f2_Strategy,subset_accuracy_Strategy,hamming_loss_Strategy,micro_precision_FEP,micro_recall_FEP,micro_f1_FEP,micro_f2_FEP,subset_accuracy_FEP,hamming_loss_FEP
XGBoost,visual,False,Not applicable,33,5,,0.8,5,sqrt,0.01,0.19299567306772156,0.31020408163265306,0.23793087744574445,0.2765881606450334,0.5308159722222222,0.1056857638888889,0.22377376891487863,0.6190476190476191,0.3284958196648693,0.45705507209545115,0.47888040712468194,0.12447837150127226
XGBoost,visual,True,Not applicable,33,5,,0.8,5,sqrt,0.01,0.09660069755214025,0.1581920903954802,0.11994995359403786,0.14029902738872435,0.3639910813823857,0.1525455221107395,0.1633272589952419,0.31228070175438594,0.21425884216111965,0.26384128322056993,0.42920847268673357,0.14570791527313265
XGBoost,multimodal,False,Not applicable,33,,,0.8,100,,0.01,0.08717291730036823,0.40952380952380957,0.14344194092305745,0.2345785827196858,0.21397569444444445,0.26200810185185186,0.10147859500906868,0.6770186335403726,0.17648724098143911,0.3171549382836791,0.07175572519083968,0.3106361323155216
XGBoost,multimodal,True,Not applicable,33,,,0.8,100,,0.01,0.1541556862864033,0.693502824858757,0.25161720976019036,0.4062744306153319,0.11817168338907469,0.2750836120401338,0.08667987306726165,0.35964912280701755,0.1396917962909106,0.220665206936689,0.19899665551839466,0.2814938684503902
XGBoost,multimodal,False,Not applicable,33,5,,0.8,5,sqrt,0.01,0.09615652285057315,0.3687074829931973,0.15220387152300405,0.23452082719324097,0.3072916666666667,0.2199074074074074,0.10574846633589864,0.650103519668737,0.18187986981423254,0.32022649923522045,0.1267175572519084,0.287735368956743
XGBoost,multimodal,True,Not applicable,33,5,,0.8,5,sqrt,0.01,0.15726977759448288,0.5084745762711864,0.24015656339607408,0.3513332907982669,0.20680044593088068,0.21125975473801561,0.08094895551374563,0.3228070175438596,0.12928174089513172,0.20168245474105698,0.17725752508361203,0.27837235228539575
XGBoost,audio_multi,False,Not applicable,33,,,0.8,100,,0.01,0.13944784796196502,0.2639455782312925,0.18227378329361332,0.2237043515046109,0.5034722222222222,0.1265190972222222,0.11906766511502394,0.4575569358178054,0.18892910381539893,0.291624647417904,0.32111959287531805,0.19328244274809162
XGBoost,audio_multi,True,Not applicable,33,,,0.8,100,,0.01,0.1984840143696878,0.39971751412429385,0.26522756776477835,0.33229813410962905,0.415273132664437,0.14557785209959123,0.07029315158818278,0.22456140350877193,0.10706802986041497,0.15605645298325474,0.2435897435897436,0.2382385730211817
XGBoost,audio_multi,False,Not applicable,33,5,,0.8,5,sqrt,0.01,0.21859325439883867,0.29523809523809524,0.25102781118001555,0.27574679979503824,0.60546875,0.09273726851851853,0.08480266615332006,0.2587991718426501,0.12744056759438335,0.1829067475131675,0.34707379134860056,0.17659033078880407
XGBoost,audio_multi,True,Not applicable,33,5,,0.8,5,sqrt,0.01,0.23486032451985983,0.23163841807909605,0.23198427311270908,0.23148498129926212,0.5289855072463768,0.10172798216276478,0.0702133980821629,0.15789473684210528,0.0967721633481629,0.12576944128668266,0.36454849498327757,0.1833890746934225
XGBoost,correlations,False,Not applicable,33,,,0.8,100,,0.01,0.16863960187635377,0.272108843537415,0.20809292792948067,0.24222838228425977,0.5269097222222222,0.11046006944444446,0.17108950892459687,0.5279503105590061,0.2583983892719433,0.3724777838582704,0.388295165394402,0.14890585241730278
