model_name,feature_selection,generalization_test,Task,multiclass,Parameters,classifier,micro_precision,micro_recall,micro_f1,micro_f2,subset_accuracy,hamming_loss
RandomForest,multimodal,1,f,1,7,1,0.269934431554053,0.114035087719298,0.160080423862888,0.128842593429529,0.687848383500557,0.076142697881828
RandomForest,audio_multi,0,f,1,7,1,0.208247640141328,0.066252587991718,0.100445139296029,0.076691985139077,0.739440203562341,0.057506361323155
RandomForest,audio_multi,1,f,1,7,1,0.020833333333333,0.007017543859649,0.010498687664042,0.008090614886731,0.685061315496098,0.083054626532887
RandomForest,correlations,0,f,1,7,1,0.29886524822695,0.091097308488613,0.139612954186414,0.1058031698898,0.743511450381679,0.055165394402036
RandomForest,correlations,1,f,1,7,1,0.181605975723623,0.029824561403509,0.050238769504137,0.03559580242872,0.738573021181717,0.068450390189521
RandomForest,hand_selected,0,f,1,7,1,0.339189708141321,0.06832298136646,0.113694808666126,0.081299498613799,0.757251908396947,0.052417302798982
RandomForest,hand_selected,1,f,1,7,1,0.165079365079365,0.024561403508772,0.042464454976303,0.029538005620918,0.740245261984392,0.069676700111483
VLM_describe,,1,f,1,,0,0.15,0.047368421052632,0.072,0.054878048780488,0.687290969899666,0.077591973244147
Baseline-All,,1,f,2,,2,0.063545150501672,1,0.119496855345912,0.253333333333333,0,0.936454849498328
Baseline-None,,1,f,2,,2,0,0,0,0,0.762541806020067,0.063545150501672
Baseline-Random,,1,f,2,,2,0.062623599208965,0.5,0.111306385471588,0.208607817303469,0.030100334448161,0.507357859531773
VLM_describe,,0,f,1,,0,0.015384615384615,0.00354609929078,0.005763688760807,0.004191114836547,0.710479573712256,0.061278863232682
VLM_def,,1,f,1,,0,0.174603174603175,0.057894736842105,0.08695652173913,0.066828675577157,0.68561872909699,0.077257525083612
VLM_def,,0,f,1,,0,0.013157894736842,0.00354609929078,0.005586592178771,0.004152823920266,0.700710479573712,0.063232682060391
Baseline-All,,0,f,2,,2,0.050088809946714,1,0.095399188092016,0.20864160994377,0,0.949911190053286
Baseline-None,,0,f,2,,2,0,0,0,0,0.759325044404973,0.050088809946714
Baseline-Random,,0,f,2,,2,0.045244032775205,0.450354609929078,0.082227258012302,0.161372299872935,0.030195381882771,0.503552397868561
VLM_perclass,,1,f,0,,0,0.053571428571429,0.031578947368421,0.039735099337748,0.034403669724771,0.693979933110368,0.096989966555184
VLM_perclass,,0,f,0,,0,0.055118110236221,0.024822695035461,0.034229828850856,0.027888446215139,0.711367673179396,0.070159857904085
VLM_describe,,1,s,1,,0,0.014285714285714,0.008474576271186,0.01063829787234,0.009225092250923,0.496655518394649,0.103678929765886
Baseline-All,,1,s,2,,2,0.06577480490524,1,0.123430962343096,0.260370697263901,0,0.93422519509476
Baseline-None,,1,s,2,,2,0,0,0,0,0.653846153846154,0.06577480490524
Baseline-Random,,1,s,2,,2,0.064004376367615,0.495762711864407,0.113372093023256,0.211038961038961,0.010033444816054,0.510033444816053
VLM_describe,,0,s,1,,0,0.04,0.020151133501259,0.02680067001675,0.022371364653244,0.624894157493649,0.081992661586226
VLM_def,,1,s,1,,0,0.01219512195122,0.008474576271186,0.01,0.009025270758123,0.459866220735786,0.110367892976589
VLM_def,,0,s,1,,0,0.041009463722398,0.032745591939547,0.036414565826331,0.034120734908137,0.549534292972058,0.097092859158905
Baseline-All,,0,s,2,,2,0.056025966694891,1,0.106107176266203,0.228844823610791,0,0.943974033305109
Baseline-None,,0,s,2,,2,0,0,0,0,0.718035563082134,0.056025966694891
Baseline-Random,,0,s,2,,2,0.058331007535585,0.526448362720403,0.105025125628141,0.202088570876039,0.022015241320915,0.502681343494214
VLM_perclass,,1,s,0,,0,0.081850533807829,0.194915254237288,0.115288220551378,0.152722443559097,0.408026755852843,0.196767001114827
VLM_perclass,,0,s,0,,0,0.063291139240506,0.163727959697733,0.091292134831461,0.124282982791587,0.44623200677392,0.18261360429015
