model_name,feature_selection,generalization_test,best_model,random_state,max_depth,min_samples_split,subsample,n_estimators,max_features,learning_rate,micro_precision_Strategy,micro_recall_Strategy,micro_f1_Strategy,micro_f2_Strategy,subset_accuracy_Strategy,hamming_loss_Strategy,micro_precision_FEP,micro_recall_FEP,micro_f1_FEP,micro_f2_FEP,subset_accuracy_FEP,hamming_loss_FEP
XGBoost,visual,False,Not applicable,33,5,,0.8,5,,0.3,0.4408369408369408,0.1360544217687075,0.20733851463260478,0.1577177788664833,0.7235243055555555,0.05555555555555555,0.36925925925925923,0.11180124223602485,0.17153414101587292,0.12988955542026853,0.7577608142493638,0.05312977099236641
XGBoost,visual,True,Not applicable,33,5,,0.8,5,,0.3,0.18298875105597792,0.03672316384180791,0.06115238911734099,0.043706729242552624,0.6220735785953178,0.07441471571906354,0.1474438260152546,0.03157894736842105,0.05186551500602948,0.03743158360946137,0.7240802675585284,0.07357859531772575
XGBoost,multimodal,False,Not applicable,33,5,,0.8,5,0.5,0.3,0.1128042995011928,0.0272108843537415,0.04380447818679047,0.03206884588526792,0.6888020833333334,0.06293402777777779,0.6757575757575758,0.25258799171842655,0.3673188956293387,0.2886259225269683,0.7974554707379135,0.042748091603053436
XGBoost,multimodal,True,Not applicable,33,5,,0.8,5,0.5,0.3,0.2048671497584541,0.049435028248587566,0.07899879264641692,0.058111855120900995,0.6337792642140468,0.07497212931995541,0.1156060606060606,0.014035087719298248,0.02502518593852307,0.017025842461049778,0.750278706800446,0.0696767001114827
XGBoost,multimodal,False,Not applicable,33,5,,0.8,5,,0.3,0.09333721833721835,0.0326530612244898,0.04835795547869851,0.03752693348814926,0.685329861111111,0.06807002314814815,0.6817156735189522,0.2505175983436853,0.3660771652050722,0.28670244551214163,0.7979643765903308,0.04264631043256997
XGBoost,multimodal,True,Not applicable,33,5,,0.8,5,,0.3,0.07555555555555556,0.02401129943502825,0.03644158628081458,0.027805037618580306,0.6343366778149387,0.07190635451505017,0.0467355023503459,0.010526315789473684,0.017098168975832616,0.01243621851299912,0.7279821627647713,0.07536231884057971
XGBoost,audio_multi,False,Not applicable,33,5,,0.8,5,0.5,0.3,0.0649139772967589,0.03537414965986394,0.04540282835748755,0.03876270775400189,0.615017361111111,0.0794994212962963,0.1426560891440834,0.06832298136645963,0.09067480187431227,0.07567485904913493,0.7206106870229009,0.06524173027989821
XGBoost,audio_multi,True,Not applicable,33,5,,0.8,5,0.5,0.3,0.15664710555655698,0.05508474576271186,0.08136902371970763,0.06325148205483482,0.6114827201783725,0.08082497212931995,0.03470588235294118,0.010526315789473684,0.01608527131782946,0.012211486849168007,0.6984392419175028,0.08060200668896321
XGBoost,audio_multi,False,Not applicable,33,5,,0.8,5,,0.3,0.06795182548098773,0.051700680272108834,0.057965830015243525,0.05392461854045605,0.5837673611111112,0.0886863425925926,0.22864317101605236,0.11594202898550725,0.15098839644976178,0.1275110289285641,0.7206106870229009,0.062391857506361316
XGBoost,audio_multi,True,Not applicable,33,5,,0.8,5,,0.3,0.4046794475365904,0.07062146892655367,0.11982226456718814,0.0844898109820897,0.6538461538461539,0.06781865477517651,0.11543700471548375,0.054385964912280704,0.07387829385398582,0.060798157951311604,0.6672240802675585,0.08628762541806019
